I Want To Hold Your Hand,https://www.youtube.com/watch?v=jenWdylTtzs
Going Away,https://www.youtube.com/watch?v=Z7oWMtwK9tI
Happy,https://www.youtube.com/watch?v=ZbZSe6N_BXs
Travelling Like The Light,https://www.youtube.com/watch?v=C0erW2N-71M
Still I'm Sad,https://www.youtube.com/watch?v=hRpsA-UvJDg
A Perfectly Good Heart,https://www.youtube.com/watch?v=_uJKPrKQQEE
Astronomy Domine,https://www.youtube.com/watch?v=MEZ58XCc540
Bike,https://www.youtube.com/watch?v=SmW17QvUhRM
Chapter 24,https://www.youtube.com/watch?v=7hfPSkQ0xaQ
Fearless,https://www.youtube.com/watch?v=ptSjNWnzpjg
Flaming,https://www.youtube.com/watch?v=NPoZoEV9AsU
Let There Be More Light,https://www.youtube.com/watch?v=V0-LJKDVhq0
Love Story,https://www.youtube.com/watch?v=8xg3vE8Ie_E
Lucifer Sam,https://www.youtube.com/watch?v=wbIMx2MYNXk
Mine,https://www.youtube.com/watch?v=XPBwXKgDTdE
Remember A Day,https://www.youtube.com/watch?v=AmSjEu57Lxs
Set The Controls For The Heart Of The Sun,https://www.youtube.com/watch?v=ieQZoY9PQlY
Stay Beautiful,https://www.youtube.com/watch?v=h5PoEQN599I
Take Up Thy Stethescope And Walk,https://www.youtube.com/watch?v=uMm23jTs01k
The Gnome,https://www.youtube.com/watch?v=YKnHbPkE2FU
The Lucky One,https://www.youtube.com/watch?v=CeEc04JCeoY
The Scarecrow,https://www.youtube.com/watch?v=zEqR0EutiaM
The Story Of Us,https://www.youtube.com/watch?v=I5kf-UzEGaw
